Article name,Questionaire name, Questionnaire short form,Administer,Year of publish,Keywords,Target age,Target condition,Purpose of questionnaire,Scale,Validation,No. of qns,Scoring,Condition to use ,Credit,Shsrepoint link,Non-english version ,Notes
Evaluation of Intermittent Exotropia Questionnaire using Rasch Analysis,The Intermittent Exotropia Questionnaire,IXTQ (child),Patient/Child,2015,Intermittent Exotropia,"""5 -7 8 - 17""",Intermittent Exotropia,How intermittent exotropia affects the health-related quality of life of children and their parents,2,Yes,12 items,,Free,Cite,,,
,,IXTQ (proxy),Patient/Child,2015,Intermittent Exotropia,"""5 -7 8 - 17""",Intermittent Exotropia,To assess how intermittent exotropia affects the health-related quality of life of children and their parents,2,Yes,17 items,,Free,Cite,,,
The Second Version of the L.V Prasad-Functional Vision Questionnaire,L. V. Prasad-Functional Vision Questionnaire II,LVP-FVQ II,Patient/Child,2012,Vision-related quality of life,8 - 16,Any,To assess self-reported difficulties in performing daily tasks in school children with visual impairment,3,Yes,27 items,,Free,Cite,,,
Validity of the Convergence Insufficiency Symptom Survey: A confirmation study,Convergence Insufficiency Symptom Survey,CISS,Patient/Child,2009,"Convergence insufficiency symptom survey, child, CISS, convergence insufficiency, symptoms, validity, normal binocular vision, masking, interviewer bias",N/A,Convergence Insufficiency,To find out if a child has Convergence Insufficiency through the symptom survey,5,Yes,15 items,"""Never = 0 Infrequently = 1 Sometimes = 2 Fair often = 3 Always = 4 Score of >=16 indicates the need of a developmental vision exam""",To contact,Cite,CISS,,
Validation and Repeatability of Paediatric Refractive Error Profile 2,Paediatric Refractive Error Profile 2,PREP 2,Patient/Child,2013,Vision-related quality of life,8 - 14,Any,"To assess how different types of vision correction, affects a child's visual function",5,Yes,56 items,,Free,Cite,,Mandarin - validated,
The Impact of Vision Impairment for Children: Validation of a Vision-specific Pediatric Quality-of-Life using Rasch Analysis,Impact of Vision Impairment for Children,IVI-C,Patient/Child,2011,"Vision-related quality of life, Vision Impairment",8 - 18,Any,Measures the impact of vision impairment in a child's vision-related quality of life,5,Yes,26 items,,Copyrighted,,,,
The Development of An Istrument to Measure the Quality of Vision: The Quality of Vision Questionnaire,The Quality of Vision Questionnaire,QoV,Patient/Child,2010,Vision-related quality of life,N/A,Any,"To find out the frequency, severity and bothersome of one's quality of vision",4,Yes,30 items,"""3 dimensions - Frequency, Severity, Bothersomeness Not at all = 0 A little = 1 Quite = 2 Very = 3 Higher score = worse quality of vision""",Free,Cite,,,
An adaptation for School Screening using Rasch Anal,College of Optometrists in Vision Questionnaire,COVD-QoV,Patient/Child,2012,Vision-related quality of life,7 - 12,Any,To assess how well are their vision,5,Yes,14 items,,,,,,
Evaluation of Performance of Photochromic Spectacle Lenses in Children Adolescents Aged 10 to 15 years,NA,CVRA,Patient/Child,2006,"Vision quality, photochromic spectacle lenses, ultraviolet radiation",10 - 15,Any,To evaluate the visual performance with each lens and comparing the difference between the two,"""Preliminary: Nominal, Ordinal, Interval Evaluation: Nominal, Ordinal Final: Nominal, Ordinal""",Yes,"""Preliminary: 27 items Evaluation: 36 items Final: 14 items""",,Free,Cite,,,
Adaptation and quality of vision in glasses with lenses for the control of stellest myopia with built-in high-spherical microlenses,NA,AQoVS,Patient/Child,2022,"Child, stellest, questionnaire, adaptation",8 - 13,Myopia,Evaluate the visual adaptation and vision quality of glasses with Stellest lenses.,2 or 6,No,8 items,NA,To contact,"Proskurima OV, Tarasova NA, Markosyan GA, Arutunayan SG, Milash SV, Tarutta EP. Adaptation and quality of vision in glasses with lenses for the control of Stellest myopia with built-in high-spherical microlenses. Russian pediatric ophthalmology. 2022;17(2):5-12. DOI: https://doi.org/10.17816/rpoh97296",AQoVS,Russian,
Development and reliability and validity tests of a self‑reported questionnaire assessing frame glasses wearing compliance in myopic children,Self-reported Glasses Wear Compliance in Myopic Children,GWCinMC,Patient/Child,2025,"Myopia, child, eyeglasses, patient compliance, adherence, spectacle wear",10 - 15,Myopia,To explore the reliability and validity of the self‑reported questionnaire for assessing frame glasses‑wearing compliance in myopic children,"Nominal, Ordinal, Interval",Yes,"""9 items (only 8 items assessable)""","""Q1, Q2, Q4, Q8 - No = 1 / Yes = 0 Q3, Q5, Q6 - No = 0 / Yes = 1 Q7 - """"Review once per semester/every 1-6 months"""" = 1 / """"Review once every 7-11 months"""" = 0.75 / """"Review once a year"""" = 0.5 / """"Review once every 1 year or more"""" = 0.25 / """"Never reviewed/No fixed review schedule/Only review when vision is unclear"""" = 0 Full marks is 8,. The higher the score, the better the compliance""",To contact,,,Only Mandarin available,
